Comment,label
Em a ơiiiiiii,POS
Em với ạ,NEU
Ib e oi,NEU
E dùng gói ng quen dc k a,NEU
cơ sở HCM có khác ko ạ,NEU
Vu Cong oke,POS
giá lạp vjp dư lào v,NEU
Ngành gì đây ạ,NEU
Xin vào nhóm vip free ạ,POS
Trần Quốc Vượng anh để quả fb thế sao ntin;D,NEU
Nguyễn Văn Tuấn là sao z các b vẫn inb đc mà. e có thể repp str nếu k đc,NEU
Ô em cx quên luôn chx xin vô,NEG
"@mọi người nếu thấy hay, hãy ủng hộ bài viết = 1 tym và 1 cmt.",POS
Vu Cong a cx k inb đc. em rép str a nhé,NEU
A ib e đc kh ạ e kh nt đc,POS
Anh ib với e đc k ạ. Em k nhắn cho anh đc ạ,POS
Tham gia group cổ đông ptit bằng cách nhắn anh nhé. còn không nhắn được thì rep str.,POS
"Nguyễn Văn Tuấn nạp vip này nó hơi lại, e inb a nhé",NEU
Hí ae rep story nhắn c nhe,POS
Khốn khổ khốn nạn,NEG
@mọi người nhắn anh tặng tài liệu ôn tập cấp tốc thi đầu vào nha,POS
Đội lụt đi thi lun á chớ,NEU
@mọi người ae rep story nhắn c nheeee,POS
"1.Lý Vĩnh Tuyên - người có tài khoản Facebook tên là Lý Vĩnh Tuyên ( Cựu sinh viên của cả 4 trường, người đã đăng những bài viết nặc danh bôi nhọ mình trên các hội nhóm Facebook hẹn hò,tinder, tìm kiếm việc làm. Mình cũng nghi ngờ bạn này chính là hacker/IT đã có sự tác động bằng thủ thuật IT để khiến Facebook cho bay màu đồng loạt các tài khoản Facebook cũ của mình).",NEG
Sđt/zalo: 0359923375).,NEU
"Lý Vĩnh Tuyên, Nguyễn Minh Trí, Minh Phuong Nguyen.",POS
"Trung tâm Phát Đạt đang đã có lịch thi bằng hạng A1, A, B,... trong tháng 10 và hỗ trợ gia hạn cấp lại bằng. Mọi người cần tư vấn nhắn mình hoặc LH 0359500698",POS
2. Học viện âm nhạc quốc gia.,NEU
Hôm nay mình xin vạch trần sự thật về 3 bạn là cựu sinh viên của 4 trường :,NEG
1.Học viện công nghệ bưu chính viễn thông.,NEU
3. Nhạc viện TP HCM,NEU
"Không áp lực giờ thì sau sẽ khổ ,cố lên",NEU
4.Đại học Sài Gòn:,POS
"2.Nguyễn Minh Trí - sinh viên chuyên ngành sáng tác âm nhạc khoa Sáng tác - Chỉ huy - Âm nhạc học, nhạc viện TP HCM.",NEU
YouTube: Trí Nguyễn: https://youtube.com/@meent_42?si=cH7PzvYt6cioOhRf.... đọc tiếp tại Facebook của mình,POS
"Trung tâm Phát Đạt đang đã có lịch thi bằng hạng A1, A, B,... trong tháng 10 và hỗ trợ gia hạn cấp lại bằng. Mọi người cần tư vấn nhắn mình hoặc LH 0359500698",POS
Anh Tuan Do tôi tưởng mai bn thi luôn đc r,NEU
Các bạn lưu lại học ngay nee,POS
"2.Nguyễn Minh Trí - sinh viên chuyên ngành sáng tác âm nhạc khoa Sáng tác - Chỉ huy - Âm nhạc học, nhạc viện TP HCM.",NEU
Sđt/zalo: 0359923375).,NEU
"1.Lý Vĩnh Tuyên - người có tài khoản Facebook tên là Lý Vĩnh Tuyên ( Cựu sinh viên của cả 4 trường, người đã đăng những bài viết nặc danh bôi nhọ mình trên các hội nhóm Facebook hẹn hò,tinder, tìm kiếm việc làm. Mình cũng nghi ngờ bạn này chính là hacker/IT đã có sự tác động bằng thủ thuật IT để khiến Facebook cho bay màu đồng loạt các tài khoản Facebook cũ của mình).",NEG
YouTube: Trí Nguyễn: https://youtube.com/@meent_42?si=cH7PzvYt6cioOhRf.... đọc tiếp tại Facebook của mình,POS
3. Nhạc viện TP HCM,NEU
1.Học viện công nghệ bưu chính viễn thông.,NEU
4.Đại học Sài Gòn:,POS
"Lý Vĩnh Tuyên, Nguyễn Minh Trí, Minh Phuong Nguyen.",POS
2. Học viện âm nhạc quốc gia.,NEU
Hôm nay mình xin vạch trần sự thật về 3 bạn là cựu sinh viên của 4 trường :,NEG
"Trung tâm Phát Đạt đang đã có lịch thi bằng hạng A1, A, B,... trong tháng 10 và hỗ trợ gia hạn cấp lại bằng. Mọi người cần tư vấn nhắn mình hoặc LH 0359500698",POS
Ý là nghỉ chưa,NEU
Đặc quyền nạp vip:,POS
"3. Cách đki môn ko bao giờ trượt, chọn thầy cô sao cho gpa cao nhất theo từng bạn.",NEU
Có á ní,POS
E tham khảo IELTS Arena ib c trao đổi thêm nha,POS
"1. Chỉ cách học, ôn thi, ôn tủ, chiến thuật làm bài.",NEU
"C học ở ngay gần trg nè, học tốt lắm. E nhắn c c share cho e",POS
"Hí em rep story nhắn c lun mai c đón 3 bạn ptit qua Cham có cs ngay ngõ ao sen đki học Toeic neee , gần lắm cách trg 250m thuiii",POS
em check tn c nha,POS
b ib mình mình chỉ b trung tâm cách có gần 500m thôi,NEU
"5. Báo những điều cần cbi để cày hbo, gpa cao.",NEG
Em có đang mất gốc khum,NEU
